Phrase_a_traduire,Phrase_traduite,Sortie_modele
 <start> i m going to leave one night early . <end>, <start> je vais partir une nuit plus tot . <end>,je vais m en laisser une nuit plus tot . 
 <start> he lives far away from his hometown . <end>, <start> il habite loin de sa ville natale . <end>,il vit tres loin de sa ville natale . 
 <start> have you seen my son ? <end>, <start> avez vous vu mon fils ? <end>,avez vous vu mon fils ? 
 <start> it s really cold today . <end>," <start> aujourd hui , il fait horriblement froid . <end>",il fait vraiment froid aujourd hui . 
 <start> it is said the house is haunted . <end>, <start> on dit que la maison est hantee . <end>,on dit que la maison est hantee . 
 <start> it s human nature . <end>, <start> c est la nature humaine . <end>,c est la nature humaine . 
 <start> they were soldiers . <end>, <start> elles etaient soldats . <end>,ils etaient soldats . 
 <start> will you show me what you bought ? <end>, <start> me montres tu ce que tu as achete ? <end>,vas tu me montrer ce que tu as achete ? 
 <start> what gave it away ? <end>, <start> comment ca s est su ? <end>,qu est ce qui a cause ? 
 <start> that s what s wrong with you . <end>, <start> c est ce qui ne va pas chez toi . <end>,c est ce qui ne va pas avec toi . 
 <start> what re we waiting for ? <end>, <start> qu est ce que nous sommes en train d attendre ? <end>,qu attends nous ? 
 <start> are you looking for something ? <end>, <start> cherchez vous quelque chose ? <end>,cherches tu quelque chose ? 
 <start> where did you find the key ? <end>, <start> ou as tu trouve la cle ? <end>,ou avez vous trouve la cle ? 
 <start> i tried again . <end>, <start> j ai a nouveau essaye . <end>,j ai essaye de nouveau . 
 <start> the majority of his income goes to pay his rent . <end>, <start> l essentiel de son revenu passe dans son loyer . <end>,la plupart de ses revenus se revenus payer son loyer . 
 <start> i m resilient . <end>, <start> je suis tenace . <end>,je suis tenace . 
 <start> our hotel faces the coast . <end>, <start> notre hotel donne sur la cote . <end>,notre hotel part la cote . 
 <start> he s an opera lover . <end>, <start> c est un inconditionnel de l opera . <end>,il adore l opera . 
 <start> does anyone know you re here ? <end>, <start> quiconque sait il que tu es la ? <end>,quiconque sait il que tu es ici ? 
 <start> i can lend you some money if you like . <end>," <start> je peux te preter un peu d argent , si tu veux . <end>","je peux te preter un peu d argent , si tu veux . "
" <start> if you don t do your duty , people will look down on you . <end>"," <start> si tu ne fais pas ton devoir , les gens te mepriseront . <end>","si vous ne faites pas votre devoir , les gens vous mepriseront . "
 <start> i want you to help me clean it up . <end>, <start> je veux que tu m aides a la nettoyer . <end>,je veux que vous m aidiez a la nettoyer . 
 <start> it was much more difficult than we initially thought . <end>, <start> ce fut beaucoup plus difficile que nous ne l avions initialement pense . <end>,ca a ete bien plus difficile que nous ne l avons initialement pense . 
 <start> i like her very much . <end>, <start> je l apprecie beaucoup . <end>,je l aime beaucoup . 
 <start> i think that s a good idea . <end>, <start> je pense que c est une riche idee . <end>,je pense que c est une bonne idee . 
 <start> i suggest you get a lawyer . <end>, <start> je vous suggere d engager un avocat . <end>,je suggere que vous preniez un avocat . 
 <start> he didn t believe it at first . <end>, <start> il ne le croyait pas tout d abord . <end>,il n y croyait pas du premier . 
 <start> the dog house is outside . <end>, <start> la niche se trouve dehors . <end>,la maison est dehors . 
 <start> where is his family ? <end>, <start> ou est sa famille ? <end>,ou se trouve sa famille ? 
 <start> here s something i want you to give to tom . <end>, <start> voici quelque chose que je veux que tu donnes a tom . <end>,voila quelque chose que je veux que vous parliez tom . 
 <start> we were always together . <end>, <start> nous etions toujours ensemble . <end>,nous etions toujours ensemble . 
 <start> no one saw that . <end>, <start> personne ne l a vu . <end>,personne ne l a vu . 
 <start> it cannot be helped . <end>, <start> on n y peut rien . <end>,on ne peut pas etre present . 
 <start> tom and mary aren t afraid . <end>, <start> tom et mary n ont pas peur . <end>,tom et mary ne sont pas effrayes . 
 <start> you re so pretty . <end>, <start> tu es tellement mignonne . <end>,tu es si jolie ! 
 <start> just seeing it made me nervous . <end>, <start> rien que le voir me rendait nerveuse . <end>,rien que le voir me rendait nerveux . 
 <start> i can t really remember . <end>, <start> je ne parviens pas vraiment a m en souvenir . <end>,je n arrive pas vraiment a me souvenir . 
 <start> i can t believe i m going to lose my job . <end>, <start> je n arrive pas a croire que je vais perdre mon boulot . <end>,je n arrive pas a croire que je vais perdre mon poste . 
 <start> this knife doesn t cut well . <end>, <start> ce couteau ne coupe pas bien . <end>,ce couteau n a pas bien coupe . 
 <start> tom is still in shock . <end>, <start> tom est toujours en etat de choc . <end>,tom est toujours en etat de choc . 
 <start> i only hope you re not too late . <end>, <start> j espere seulement que tu n es pas trop en retard . <end>,j espere seulement que vous n etes pas trop en retard . 
 <start> i know you ve been busy . <end>, <start> je sais que tu as ete occupee . <end>,je sais que vous avez ete occupees . 
 <start> i just don t want your dog in my house . <end>," <start> je ne veux pas de ton chien dans ma maison , un point c est tout . <end>",je ne veux tout simplement pas de votre chien dans ma maison . 
 <start> the game was called off on account of the rain . <end>, <start> le match fut annule a cause de la pluie . <end>,la partie fut annulee a la fin de la pluie . 
 <start> an athlete must keep in good condition . <end>, <start> un athlete doit se maintenir en bonne condition physique . <end>,un athlete doit rester en forme . 
