Phrase_a_traduire,Phrase_traduite,Sortie_modele
you are old enough to know better than to act like that,tu es assez âgée pour savoir qu'il ne faut pas agir ainsi,tu es assez âgée pour savoir que de prendre comme ça
all the money was spent on clothes,tout l'argent a été dépensé dans des vêtements,tout l'argent a été passé à des vêtements
he got off the train,il descendit du train,il a éteint le train
have you ever been run over,avez vous jamais été renversée,as tu jamais été au courant
are you sure you can handle this,êtes vous sûrs de pouvoir gérer ceci ,êtes vous sûres de pouvoir gérer ceci
we should have taken the schedule into consideration,nous aurions dû prendre en compte les horaires,nous aurions dû prendre le programme en état
you must not lose sight of your main object,il ne faut pas que tu perdes de vue ton objectif principal,vous ne devez pas perdre vue de ta part
that's what i said all along,c'est ce que je disais depuis le début,c'est ce que j'ai dit tout le long
i love summer rain,j'aime la pluie d'été,j'adore cette pluie
i think we should all go outside,je pense que nous devrions tous aller dehors,je pense que nous devrions toutes y aller dehors
i can't stand the sight of blood,je ne supporte pas la vue du sang,je ne peux pas supporter la vue du sang
you get out only what you put in,tu n'en retires que ce que tu y mets,vous ne vous faites pas de quoi que vous mettez
you can go if you want to,tu peux partir si tu veux,vous pouvez y aller si vous voulez
give my regards to your family,présentez mes respects à votre famille,donne mes désirs pour ta famille
he often uses a subway,il emprunte souvent le métro,il utilise souvent un métro
i went to sleep as soon as i got home,j'allai au lit aussitôt que je rentrai chez moi,je me suis rendu au sommeil dès que je suis arrivé
i wanted to go outside and get a breath of fresh air,je voulais aller dehors et prendre un bol d'air frais,je voulais sortir dehors et prendre une inspiration
there is a good chance that he will win,il y a de grandes chances qu'il gagne,il y a une bonne chance qu'il gagne
kyoto has many universities,kyoto compte de nombreuses universités,kyoto a beaucoup de sommeil
you've been very kind to me,vous avez été très gentilles avec moi,vous m'avez été très gentil
i ate lunch in the cafeteria,j'ai déjeuné à la cafétéria,j'ai déjeuné dans la température
i think that you're wrong,je pense que vous avez tort,je pense que vous avez tort
the child was told to apologize for being rude to the guests,l'enfant fut prié de présenter ses excuses pour avoir été grossier envers les invités,l'enfant fut dit de présenter des invités pour être grossier
i was on the verge of tears,j'étais au bord des larmes,j'étais au bord de la rivière
were you with my father today,étais tu avec mon père aujourd'hui,étais tu avec mon père aujourd'hui
everybody's happy,tout le monde est content,tout le monde est heureux
why are you scared,pourquoi as tu peur ,pourquoi as tu peur
you're sneaky,vous êtes sournoises,vous êtes en état
he advised caution,il conseilla la prudence,il conseilla de perdre
food prices are at their highest level since the united nations food and agriculture organization began keeping records in 1990,les prix de l'alimentation sont à leur plus haut niveau depuis que l'organisation des nations unies pour l’alimentation et l’agriculture a commencé à les enregistrer en mille neuf cent quatre vingt dix,les prix de la nourriture du plus court de la nourriture et les gens se sont en train de vivre en leur enfants
i don't like your girlfriend,je n'aime pas ta copine,je n'aime pas ta petite copine
keep reading,continue à lire,continue à lire
you shouldn't stay up so late at night,vous ne devriez pas veiller aussi tard,vous ne devriez pas rester si tard la nuit
you needn't have taken a taxi,tu n'avais pas besoin de prendre un taxi,vous avez pris conscience d'un taxi
are you blushing,rougis tu,tu cherches
do i have to stay in the hospital,dois je rester à l'hôpital,dois je rester à l'hôpital
the pond has dried up,l'étang s'est asséché,l'étang a été levé
recycling reduces pollution and waste,le recyclage réduit la pollution et les déchets,le long de la pollution et noël
i didn't know you were seeing someone,j'ignorais que tu fréquentais quelqu'un,je ne savais pas que vous étiez quelqu'un
go slow,va doucement,allez tomber
open your mouth,ouvrez la bouche,ouvrez la bouche
let me take a gander,laissez moi jeter un œil,laisse moi prendre un œil
the thief got away with the money,le voleur a fui avec l'argent,le voleur s'est passé avec l'argent
the dna test cleared him of all charges,le test adn l'a blanchi de toutes les accusations,le test de lui a fait des tout de se sont pris
what a hypocrite,quelle hypocrite,quel souvenir
you're always criticizing me,tu me critiques tout le temps ,vous me faites toujours la tête
i'd suggest the following change,je conseillerais le changement suivant,je suggère que le monnaie
he has the least money of us all,c'est lui qui a le moins d'argent de nous tous,il a le moins d'argent de nous
there wasn't anyone in the room,il n'y avait personne dans la pièce,il n'y avait personne dans la pièce
you were happy weren't you,tu étais heureux non ,vous étiez heureux n'est ce pas
do you think it was easy for me,penses tu que c'était facile pour moi ,pensez vous que c'était facile pour moi
get a job,trouve un boulot,fais un travail
he lost his life in a traffic accident,il perdit la vie dans un accident de voiture,il a perdu sa vie dans un accident de la circulation
do you want to be rich,voulez vous être riche,veux tu être riche
a little reflection will show you that you are wrong,si tu réfléchis un peu tu comprendras que tu te trompes,un peu près toi ne vous d'une petite fois vous avez tort
anyone who protested lost his job,tous ceux qui protestaient perdaient leur emploi,quiconque a perdu son travail
it's a curse,c'est une malédiction,c'est une tête
